nama_jurnal,url,sinta_grade,subject_area
Jurnal Nasional Teknologi dan Sistem Informasi (TEKNOSI),https://teknosi.fti.unand.ac.id/index.php/teknosi/issue/archive,3,Science
Teknika,https://ejournal.ikado.ac.id/index.php/teknika,3,Science
International Journal of Chemistry Education Research,http://journal.uii.ac.id/IJCER,3,"Science, Education, Social"
Jurnal Pelita PAUD,http://jurnal.upmk.ac.id/index.php/pelitapaud/issue/archive,3,"Science, Education"
Jurnal Geologi dan Sumberdaya Mineral (Journal of Geology and Mineral Resources),http://jgsm.geologi.esdm.go.id/index.php/JGSM,3,"Science, Education, Social, Engineering"
ISM (Intisari Sains Medis) : Jurnal Kedokteran,http://isainsmedis.id,3,"Health, Science"
Jurnal Sistem Cerdas,https://apic.id/jurnal/index.php/jsc,3,"Science, Education, Engineering"
MATRIX - Jurnal Manajemen Teknologi dan Informatika,http://ojs2.pnb.ac.id/index.php/matrix,3,"Science, Engineering"
Jurnal Fitofarmaka Indonesia,http://jurnal.farmasi.umi.ac.id/index.php/fitofarmakaindo/issue/archive,3,"Health, Science"
Jurnal Fisika Flux: Jurnal Ilmiah Fisika FMIPA Universitas Lambung Mangkurat,http://ppjp.ulm.ac.id/journal/index.php/f,3,"Science, Education"
Jurnal Manajemen (Edisi Elektronik),http://ejournal.uika-bogor.ac.id/index.php/manajemen/index,3,Science
"Journal of Indonesian Tourism, Hospitality and Recreation",https://ejournal.upi.edu/index.php/Jithor,3,"Health, Science, Education, Social"
Jurnal AKSI (Akuntansi dan Sistem Informasi),http://journal.pnm.ac.id/index.php/aksi,3,"Economy, Science"
Jurnal Riset dan Kajian Pendidikan Fisika,https://journal1.uad.ac.id/index.php/JRKPF/index,3,"Science, Education"
Petra International journal of Business Studies (IJBS),http://ijbs.petra.ac.id,3,"Economy, Science"
Digital Zone: Jurnal teknologi informasi dan Komunikasi,https://journal.unilak.ac.id/index.php/dz/issue/archive,3,"Science, Engineering"
JTERA (Jurnal Teknologi Rekayasa),http://jtera.polteksmi.ac.id,3,"Science, Engineering"
Rekayasa,https://journal.trunojoyo.ac.id/rekayasa,3,"Science, Agriculture, Engineering"
Molecular and Cellular Biomedical Sciences (MCBS),https://cellbiopharm.com/ojs/index.php/MCBS,3,"Health, Science"
JUTI: Jurnal Ilmiah Teknologi Informasi,http://juti.if.its.ac.id/index.php/juti,3,"Health, Science, Education"
Jurnal ARSI : Administrasi Rumah Sakit Indonesia,https://scholarhub.ui.ac.id/arsi,3,"Health, Science, Social"
JBMR: Journal of Business and Management Review,https://profesionalmudacendekia.com/index.php/jbmr,3,"Economy, Science, Social"
Jurnal Ilmu dan Teknologi Kelautan Tropis,http://journal.ipb.ac.id/index.php/jurnalikt,3,Science
Jurnal Mina Sains,http://ojs.unida.ac.id/index.php/jmss,3,"Science, Agriculture"
Eduvest - Journal of Universal Studies,https://eduvest.greenvest.co.id/index.php/edv,3,"Health, Science, Social, Engineering"
International Journal of Engineering Continuity,https://ejournal.sultanpublisher.com/index.php/ijec,3,"Science, Engineering"
Jurnal Informatika dan Rekayasa Perangkat Lunak,https://publikasiilmiah.unwahas.ac.id/index.php/JINRPL,3,Science
"JBMP (Jurnal Bisnis, Manajemen dan Perbankan)",https://jbmp.umsida.ac.id/index.php/jbmp,3,"Economy, Science"
Procedia : Studi Kasus dan Intervensi Psikologi,https://ejournal.umm.ac.id/index.php/procedia,3,"Humanities, Health, Science, Education, Social"
Jurnal Pendidikan Informatika dan Sains,https://journal.ikippgriptk.ac.id/index.php/saintek,3,"Science, Engineering"
JuTISI (Jurnal Teknik Informatika dan Sistem Informasi),https://journal.maranatha.edu/index.php/jutisi,3,Science
Jurnal Nusantara Aplikasi Manajemen Bisnis,http://ojs.unpkediri.ac.id/index.php/manajemen,3,"Economy, Science"
JOURNAL OF EDUCATIONAL SCIENCES,https://jes.ejournal.unri.ac.id/index.php/JES,3,"Religion, Humanities, Science, Education"
Jurnal Algoritma,https://jurnal.itg.ac.id/index.php/algoritma,3,Science
Biota Jurnal Ilmiah Ilmu-Ilmu Hayati,https://ojs.uajy.ac.id/index.php/biota,3,"Science, Agriculture"
Jurnal ULTIMA InfoSys,http://ejournals.umn.ac.id/index.php/SI,3,Science
JRST (Jurnal Riset Sains dan Teknologi),https://jurnalnasional.ump.ac.id/index.php/JRST,3,"Science, Engineering"
Jurnal Teknik Mesin,https://jurnalmesin.petra.ac.id/index.php/mes/index,3,"Science, Engineering"
JOURNAL OF APPLIED INFORMATICS AND COMPUTING,https://jurnal.polibatam.ac.id/index.php/JAIC,3,Science
Jurnal Farmasi Sains dan Praktis,http://journal.ummgl.ac.id/index.php/pharmacy/issue/archive,3,"Health, Science"
Syifa' MEDIKA: Jurnal Kedokteran dan Kesehatan,https://jurnal.um-palembang.ac.id/syifamedika,3,"Health, Science"
Journal of Applied Geospatial Information (JAGI),http://jurnal.polibatam.ac.id/index.php/JAGI/issue/archive,3,"Science, Social, Engineering"
Indonesian Management and Accounting Research,https://e-journal.trisakti.ac.id/index.php/imar,3,"Economy, Science, Social"
PIKSEL : Penelitian Ilmu Komputer Sistem Embedded and Logic,https://jurnal.unismabekasi.ac.id/index.php/piksel,3,Science
Eduproxima : Jurnal Ilmiah Pendidikan IPA,https://jurnal.stkippgritulungagung.ac.id/index.php/eduproxima,3,"Science, Education"
Angkasa: Jurnal Ilmiah Bidang Teknologi,http://ejournals.itda.ac.id/index.php/angkasa/index,3,Science
e-Jurnal Apresiasi Ekonomi,http://stiepasaman.ac.id/ojsapresiasiekonomi/index.php/apresiasiekonomi,3,"Economy, Science"
JURNAL DIVERSITA,http://ojs.uma.ac.id/index.php/diversita,3,"Science, Education, Social"
JURNAL INSTEK (Informatika Sains dan Teknologi),http://journal.uin-alauddin.ac.id/index.php/instek,3,"Science, Engineering"
BAREKENG: Jurnal Ilmu Matematika dan Terapan,https://ojs3.unpatti.ac.id/index.php/barekeng/issue/archive,3,"Science, Education, Engineering"
Jurnal Teknologi Pertanian Andalas,http://tpa.fateta.unand.ac.id/index.php/JTPA,3,"Science, Agriculture"
Jurnal Locus Penelitian dan Pengabdian,https://locus.rivierapublishing.id/index.php/jl,3,"Science, Education, Engineering"
